title;artist;album;isrc;addedDate;addedBy;duration;url
Her;"Excision, Dion Timmer";"Lost Lands 2018 Compilation";UK7H21500142;;;217s;http://www.tidal.com/track/98300552
Home;"Excision, Dion Timmer";"Lost Lands 2018 Compilation";NLRD51831609;;;237s;http://www.tidal.com/track/98300553
Twenty-2-Life;Carbin;"Lost Lands 2018 Compilation";USYBL1800533;;;241s;http://www.tidal.com/track/98300554
Forever;"Snails, Dion Timmer, KLP, FuntCase";"Lost Lands 2018 Compilation";CADUT1807002;;;321s;http://www.tidal.com/track/98300555
"On The Edge";"Antiserum, Bok Nero";"Lost Lands 2018 Compilation";CA5KR1804250;;;235s;http://www.tidal.com/track/98300556
"OG Purp";"Tha Trickaz, Creaky Jackals, Phaseone";"Lost Lands 2018 Compilation";FRX201706816;;;200s;http://www.tidal.com/track/98300557
"Die For You";"Excision, Akylla";"Lost Lands 2018 Compilation";NLRD51831613;;;239s;http://www.tidal.com/track/98300558
"Dog Fight";"Virtual Riot";"Lost Lands 2018 Compilation";CA5KR1822141;;;209s;http://www.tidal.com/track/98300559
Work;Bossfight;"Lost Lands 2018 Compilation";CA6D21800092;;;240s;http://www.tidal.com/track/98300560
"Another Dimension";"Nghtmre, Yookie";"Lost Lands 2018 Compilation";USZ4V1800056;;;159s;http://www.tidal.com/track/98300561
"Hit a Lick";HE$H;"Lost Lands 2018 Compilation";TCADU1815931;;;281s;http://www.tidal.com/track/98300562
Fall;Excision;"Lost Lands 2018 Compilation";NLRD51831608;;;236s;http://www.tidal.com/track/98300563
Moshaholics;"Mantis, Messinian";"Lost Lands 2018 Compilation";CA5KR1705143;;;272s;http://www.tidal.com/track/98300564
"Welcome To Mayhem";"Phaseone, In Hearts Wake";"Lost Lands 2018 Compilation";FRX201660844;;;182s;http://www.tidal.com/track/98300565
"Blow This";"Mashok, NOST";"Lost Lands 2018 Compilation";FR2X41898195;;;204s;http://www.tidal.com/track/98300566
MSHPT;"CYBRPNK, Sullivan King";"Lost Lands 2018 Compilation";CA5KR1580402;;;195s;http://www.tidal.com/track/98300567
Vault;Excision;"Lost Lands 2018 Compilation";NLRD51831612;;;297s;http://www.tidal.com/track/98300568
Deviance;"Excision, Datsik";"X Rated";GBTDG1200478;;;304s;http://www.tidal.com/track/89670562
"X Rated";"Excision, Messinian";"X Rated";GBTDG1200482;;;262s;http://www.tidal.com/track/89670563
Sleepless;"Excision, Savvy";"X Rated";GBTDG1200474;;;254s;http://www.tidal.com/track/89670564
"Ohhh Nooo";Excision;"X Rated";GBTDG1200499;;;303s;http://www.tidal.com/track/89670565
"The Underground";"Excision, Downlink";"X Rated";GBTDG1200481;;;321s;http://www.tidal.com/track/89670566
Execute;Excision;"X Rated";GBTDG1200498;;;204s;http://www.tidal.com/track/89670567
Swerve;"Excision, Downlink";"X Rated";GBTDG1200479;;;288s;http://www.tidal.com/track/89670568
Sexism;"Excision, Skism";"X Rated";GBTDG1200480;;;267s;http://www.tidal.com/track/89670569
Sleepless;"Excision, Savvy";"X Rated";GBTDG1200475;;;309s;http://www.tidal.com/track/89670570
"X Rated";"Excision, Messinian";"X Rated";GBTDG1200476;;;294s;http://www.tidal.com/track/89670571
"8 Bit Superhero";"Excision, Datsik";"X Rated";GBTDG1200477;;;281s;http://www.tidal.com/track/89670572
"American Capitalist";"Five Finger Death Punch";"American Capitalist (Deluxe Edition)";US5Z50900076;;;208s;http://www.tidal.com/track/154743003
"Under and Over It";"Five Finger Death Punch";"A Decade of Destruction";US5Z50900074;;;218s;http://www.tidal.com/track/154751901
"The Pride";"Five Finger Death Punch";"American Capitalist";US5Z50900085;;;204s;http://www.tidal.com/track/154743027
"Coming Down";"Five Finger Death Punch";"A Decade of Destruction";US5Z50900077;;;241s;http://www.tidal.com/track/154751908
Menace;"Five Finger Death Punch";"American Capitalist (Deluxe Edition)";US5Z50900081;;;212s;http://www.tidal.com/track/154743007
"Generation Dead";"Five Finger Death Punch";"American Capitalist (Deluxe Edition)";US5Z50900080;;;223s;http://www.tidal.com/track/154743008
"Back for More";"Five Finger Death Punch";"American Capitalist (Deluxe Edition)";US5Z50900082;;;203s;http://www.tidal.com/track/154743009
"Remember Everything";"Five Finger Death Punch";"A Decade of Destruction";US5Z50900078;;;279s;http://www.tidal.com/track/154751907
"Wicked Ways";"Five Finger Death Punch";"American Capitalist";US5Z50900083;;;188s;http://www.tidal.com/track/154743033
"If I Fall";"Five Finger Death Punch";"American Capitalist (Deluxe Edition)";US5Z50900084;;;237s;http://www.tidal.com/track/154743012
"100 Ways to Hate";"Five Finger Death Punch";"American Capitalist";US5Z50900079;;;201s;http://www.tidal.com/track/154743035
"Under and Over It (Remix)";"Five Finger Death Punch";"American Capitalist (Deluxe Edition)";US5Z50900185;;;237s;http://www.tidal.com/track/154743014
"The Pride (Remix)";"Five Finger Death Punch";"American Capitalist (Deluxe Edition)";US5Z50900186;;;204s;http://www.tidal.com/track/154743015
"Remember Everything (Remix)";"Five Finger Death Punch";"American Capitalist (Deluxe Edition)";US5Z50900187;;;291s;http://www.tidal.com/track/154743016
"100 Ways to Hate (Remix)";"Five Finger Death Punch";"American Capitalist (Deluxe Edition)";US5Z50900188;;;191s;http://www.tidal.com/track/154743017
"Lift Me Up";"Five Finger Death Punch, Rob Halford";"A Decade of Destruction";US5Z51300293;;;246s;http://www.tidal.com/track/154751898
"Watch You Bleed";"Five Finger Death Punch";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 1";US5Z51300297;;;223s;http://www.tidal.com/track/154751935
You;"Five Finger Death Punch";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 1";US5Z51300298;;;182s;http://www.tidal.com/track/154751939
"Wrong Side of Heaven";"Five Finger Death Punch";"A Decade of Destruction";US5Z51300299;;;271s;http://www.tidal.com/track/154751902
"Burn MF";"Five Finger Death Punch";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 1";US5Z51300300;;;218s;http://www.tidal.com/track/154751941
I.M.Sin;"Five Finger Death Punch";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 1";US5Z51300301;;;219s;http://www.tidal.com/track/154751942
"Anywhere But Here";"Five Finger Death Punch, Maria Brink";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 1";US5Z51300302;;;226s;http://www.tidal.com/track/154751943
"Dot Your Eyes";"Five Finger Death Punch";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 1";US5Z51300303;;;195s;http://www.tidal.com/track/154751944
"M.I.N.E (End This Way)";"Five Finger Death Punch";"A Decade of Destruction, Vol.2";US5Z51300304;;;246s;http://www.tidal.com/track/155332795
"Mama Said Knock You Out";"Five Finger Death Punch, Tech N9ne";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 1";US5Z51300305;;;168s;http://www.tidal.com/track/154751946
"Diary of a Deadman";"Five Finger Death Punch";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 1";US5Z51300306;;;281s;http://www.tidal.com/track/154751947
I.M.Sin;"Five Finger Death Punch, Max Cavalera";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 1";US5Z51300307;;;219s;http://www.tidal.com/track/154751948
"Anywhere But Here";"Five Finger Death Punch, Maria Brink";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 1";US5Z51300308;;;226s;http://www.tidal.com/track/154751949
"Dot Your Eyes";"Five Finger Death Punch, Jamey Jasta";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 1";US5Z51300309;;;195s;http://www.tidal.com/track/154751950
"Here To Die";"Five Finger Death Punch";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2";US5Z51300405;;;179s;http://www.tidal.com/track/154745120
"Weight Beneath My Skin";"Five Finger Death Punch";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2";US5Z51300406;;;220s;http://www.tidal.com/track/154745121
"Wrecking Ball";"Five Finger Death Punch";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2";US5Z51300407;;;193s;http://www.tidal.com/track/154745122
"Battle Born";"Five Finger Death Punch";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2";US5Z51300408;;;224s;http://www.tidal.com/track/154745123
"Cradle to the Grave";"Five Finger Death Punch";"A Decade of Destruction, Vol.2";US5Z51300409;;;198s;http://www.tidal.com/track/155332793
"Matter of Time";"Five Finger Death Punch";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2";US5Z51300410;;;196s;http://www.tidal.com/track/154745125
"The Agony of Regret";"Five Finger Death Punch";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2";US5Z51300411;;;102s;http://www.tidal.com/track/154745126
Cold;"Five Finger Death Punch";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2";US5Z51300412;;;228s;http://www.tidal.com/track/154745127
"Let This Go";"Five Finger Death Punch";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2";US5Z51300413;;;196s;http://www.tidal.com/track/154745128
"My Heart Lied";"Five Finger Death Punch";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2";US5Z51300414;;;217s;http://www.tidal.com/track/154745129
"A Day in My Life";"Five Finger Death Punch";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2";US5Z51300415;;;226s;http://www.tidal.com/track/154745130
"House of the Rising Sun";"Five Finger Death Punch";"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2";US5Z51300416;;;247s;http://www.tidal.com/track/154745131
"Got Your Six";"Five Finger Death Punch";"Got Your Six";US5Z51500623;;;178s;http://www.tidal.com/track/154741258
"Jekyll and Hyde";"Five Finger Death Punch";"Got Your Six";US5Z51400620;;;207s;http://www.tidal.com/track/154741259
"Wash It All Away";"Five Finger Death Punch";"Got Your Six";US5Z51500624;;;226s;http://www.tidal.com/track/154741260
