title;artist;album;isrc;addedDate;addedBy;duration;url
.execute.;Slipknot;"All Hope Is Gone";NLA321400481;;;109s;http://www.tidal.com/track/68572067
"Gematria (The Killing Name)";Slipknot;"All Hope Is Gone";NLA321400482;;;362s;http://www.tidal.com/track/68572068
Sulfur;Slipknot;"All Hope Is Gone";NLA321400483;;;278s;http://www.tidal.com/track/68572069
Psychosocial;Slipknot;"All Hope Is Gone";NLA321400484;;;284s;http://www.tidal.com/track/68572070
"Dead Memories";Slipknot;"All Hope Is Gone";NLA321400485;;;269s;http://www.tidal.com/track/68572071
Vendetta;Slipknot;"All Hope Is Gone";NLA321400486;;;316s;http://www.tidal.com/track/68572072
"Butcher's Hook";Slipknot;"All Hope Is Gone";NLA321400487;;;255s;http://www.tidal.com/track/68572073
Gehenna;Slipknot;"All Hope Is Gone";NLA321400488;;;413s;http://www.tidal.com/track/68572074
"This Cold Black";Slipknot;"All Hope Is Gone";NLA321400489;;;280s;http://www.tidal.com/track/68572075
"Wherein Lies Continue";Slipknot;"All Hope Is Gone";NLA321400490;;;337s;http://www.tidal.com/track/68572076
Snuff;Slipknot;"All Hope Is Gone";NLA321400491;;;276s;http://www.tidal.com/track/68572077
"All Hope Is Gone";Slipknot;"All Hope Is Gone";NLA321400492;;;285s;http://www.tidal.com/track/68572078
XIX;Slipknot;".5: The Gray Chapter";NLA321400372;;;190s;http://www.tidal.com/track/68486365
Sarcastrophe;Slipknot;".5: The Gray Chapter";NLA321400373;;;306s;http://www.tidal.com/track/68486366
AOV;Slipknot;".5: The Gray Chapter";NLA321400374;;;333s;http://www.tidal.com/track/68486367
"The Devil in I";Slipknot;".5: The Gray Chapter";NLA321400375;;;343s;http://www.tidal.com/track/68486368
Killpop;Slipknot;".5: The Gray Chapter";NLA321400376;;;225s;http://www.tidal.com/track/68486369
Skeptic;Slipknot;".5: The Gray Chapter";NLA321400377;;;287s;http://www.tidal.com/track/68486370
Lech;Slipknot;".5: The Gray Chapter";NLA321400378;;;290s;http://www.tidal.com/track/68486371
Goodbye;Slipknot;".5: The Gray Chapter";NLA321400379;;;275s;http://www.tidal.com/track/68486372
Nomadic;Slipknot;".5: The Gray Chapter";NLA321400380;;;258s;http://www.tidal.com/track/68486373
"The One That Kills the Least";Slipknot;".5: The Gray Chapter";NLA321400381;;;252s;http://www.tidal.com/track/68486374
Custer;Slipknot;".5: The Gray Chapter";NLA321400382;;;254s;http://www.tidal.com/track/68486375
"Be Prepared for Hell";Slipknot;".5: The Gray Chapter";NLA321400383;;;118s;http://www.tidal.com/track/68486376
"The Negative One";Slipknot;".5: The Gray Chapter";NLA321400314;;;325s;http://www.tidal.com/track/68486377
"If Rain Is What You Want";Slipknot;".5: The Gray Chapter";NLA321400385;;;381s;http://www.tidal.com/track/68486378
Override;Slipknot;".5: The Gray Chapter";NLA321400386;;;337s;http://www.tidal.com/track/68486379
"The Burden";Slipknot;".5: The Gray Chapter";NLA321400387;;;323s;http://www.tidal.com/track/68486380
Hero;Skillet;Awake;USAT21200593;;;187s;http://www.tidal.com/track/68616853
Monster;Skillet;Awake;USAT21200594;;;178s;http://www.tidal.com/track/68616854
"Don't Wake Me";Skillet;Awake;USAT21200595;;;235s;http://www.tidal.com/track/68616855
"Awake and Alive";Skillet;Awake;USAT21200596;;;212s;http://www.tidal.com/track/68616856
"One Day Too Late";Skillet;Awake;USAT21200597;;;220s;http://www.tidal.com/track/68616857
"It's Not Me, It's You";Skillet;Awake;USAT21200598;;;205s;http://www.tidal.com/track/68616858
"Should've When You Could've";Skillet;Awake;USAT21200599;;;211s;http://www.tidal.com/track/68616859
Believe;Skillet;Awake;USAT21200600;;;231s;http://www.tidal.com/track/68616860
Forgiven;Skillet;Awake;USAT21200601;;;220s;http://www.tidal.com/track/68616861
Sometimes;Skillet;Awake;USAT21200602;;;209s;http://www.tidal.com/track/68616862
"Never Surrender";Skillet;Awake;USAT21200603;;;211s;http://www.tidal.com/track/68616863
Lucy;Skillet;Awake;USAT21200604;;;222s;http://www.tidal.com/track/68616864
Rise;Skillet;Rise;USAT21300463;;;261s;http://www.tidal.com/track/68610032
"Sick of It";Skillet;Rise;USAT21300154;;;190s;http://www.tidal.com/track/68610033
"Good to Be Alive";Skillet;Rise;USAT21301431;;;300s;http://www.tidal.com/track/68610034
"Not Gonna Die";Skillet;Rise;USAT21301152;;;225s;http://www.tidal.com/track/68610035
"Circus for a Psycho";Skillet;Rise;USAT21301432;;;272s;http://www.tidal.com/track/68610036
"American Noise";Skillet;Rise;USAT21300461;;;250s;http://www.tidal.com/track/68610037
"Madness in Me";Skillet;Rise;USAT21301433;;;257s;http://www.tidal.com/track/68610038
Salvation;Skillet;Rise;USAT21301434;;;225s;http://www.tidal.com/track/68610039
"Fire and Fury";Skillet;Rise;USAT21301435;;;236s;http://www.tidal.com/track/68610040
"My Religion";Skillet;Rise;USAT21301436;;;253s;http://www.tidal.com/track/68610041
"Hard to Find";Skillet;Rise;USAT21301437;;;228s;http://www.tidal.com/track/68610042
"What I Believe";Skillet;Rise;USAT21301438;;;200s;http://www.tidal.com/track/68610043
"Battle Cry";Skillet;Rise;USAT21301443;;;226s;http://www.tidal.com/track/68610044
"Everything Goes Black";Skillet;Rise;USAT21301444;;;267s;http://www.tidal.com/track/68610045
Freakshow;Skillet;Rise;USAT21301445;;;279s;http://www.tidal.com/track/68610046
"Feel Invincible";Skillet;"Unleashed Beyond (Special Edition)";USAT21601602;;;229s;http://www.tidal.com/track/81117986
"Back from the Dead";Skillet;"Unleashed Beyond (Special Edition)";USAT21601603;;;213s;http://www.tidal.com/track/81117987
Stars;Skillet;"Unleashed Beyond (Special Edition)";USAT21601604;;;227s;http://www.tidal.com/track/81117988
"I Want to Live";Skillet;"Unleashed Beyond (Special Edition)";USAT21601605;;;208s;http://www.tidal.com/track/81117989
Undefeated;Skillet;"Unleashed Beyond (Special Edition)";USAT21601606;;;215s;http://www.tidal.com/track/81117990
Famous;Skillet;"Unleashed Beyond (Special Edition)";USAT21601607;;;198s;http://www.tidal.com/track/81117991
Lions;Skillet;"Unleashed Beyond (Special Edition)";USAT21601608;;;204s;http://www.tidal.com/track/81117992
"Out of Hell";Skillet;"Unleashed Beyond (Special Edition)";USAT21601609;;;214s;http://www.tidal.com/track/81117993
"Burn It Down";Skillet;"Unleashed Beyond (Special Edition)";USAT21601610;;;196s;http://www.tidal.com/track/81117994
"Watching for Comets";Skillet;"Unleashed Beyond (Special Edition)";USAT21601611;;;209s;http://www.tidal.com/track/81117995
"Saviors of the World";Skillet;"Unleashed Beyond (Special Edition)";USAT21601612;;;226s;http://www.tidal.com/track/81117996
"The Resistance";Skillet;"Unleashed Beyond (Special Edition)";USAT21601613;;;232s;http://www.tidal.com/track/81117997
"Breaking Free (feat. Lacey Sturm)";"Skillet, Lacey Sturm";"Unleashed Beyond (Special Edition)";USAT21704149;;;232s;http://www.tidal.com/track/81117998
"Stay 'Til the Daylight";Skillet;"Unleashed Beyond (Special Edition)";USAT21704158;;;226s;http://www.tidal.com/track/81117999
Brave;Skillet;"Unleashed Beyond (Special Edition)";USAT21704150;;;229s;http://www.tidal.com/track/81118000
"You Get Me High";Skillet;"Unleashed Beyond (Special Edition)";USAT21704151;;;197s;http://www.tidal.com/track/81118001
"Set It Off";Skillet;"Unleashed Beyond (Special Edition)";USAT21704152;;;229s;http://www.tidal.com/track/81118002
"Feel Invincible (Death Tiger Remix)";Skillet;"Unleashed Beyond (Special Edition)";USAT21704153;;;222s;http://www.tidal.com/track/81118003
"The Resistance (SOLI Remix)";Skillet;"Unleashed Beyond (Special Edition)";USAT21704154;;;232s;http://www.tidal.com/track/81118004
"Stars (The Shack Film Version)";Skillet;"Unleashed Beyond (Special Edition)";USAT21704155;;;245s;http://www.tidal.com/track/81118005
"Chic 'N' Stu";"System Of A Down";"Steal This Album!";USSM10213322;;;143s;http://www.tidal.com/track/33753603
Innervision;"System Of A Down";"Steal This Album!";USSM10213170;;;155s;http://www.tidal.com/track/33753604
Bubbles;"System Of A Down";"Steal This Album!";USSM10213328;;;117s;http://www.tidal.com/track/33753605
Boom!;"System Of A Down";"Steal This Album!";USSM10213324;;;135s;http://www.tidal.com/track/33753606
Nüguns;"System Of A Down";"Steal This Album!";USSM10213329;;;150s;http://www.tidal.com/track/33753607
"A.D.D. (American Dream Denial)";"System Of A Down";"Steal This Album!";USSM10213334;;;197s;http://www.tidal.com/track/33753608
"Mr. Jack";"System Of A Down";"Steal This Album!";USSM10213332;;;250s;http://www.tidal.com/track/33753609
I-E-A-I-A-I-O;"System Of A Down";"Steal This Album!";USSM10213326;;;189s;http://www.tidal.com/track/33753610
36;"System Of A Down";"Steal This Album!";USSM10213330;;;46s;http://www.tidal.com/track/33753611
Pictures;"System Of A Down";"Steal This Album!";USSM10213331;;;126s;http://www.tidal.com/track/33753612
"Highway Song";"System Of A Down";"Steal This Album!";USSM10213323;;;194s;http://www.tidal.com/track/33753613
"Fuck the System";"System Of A Down";"Steal This Album!";USSM10213321;;;133s;http://www.tidal.com/track/33753614
"Ego Brain";"System Of A Down";"Steal This Album!";USSM10213327;;;202s;http://www.tidal.com/track/33753615
Thetawaves;"System Of A Down";"Steal This Album!";USSM10213325;;;157s;http://www.tidal.com/track/33753616
Roulette;"System Of A Down";"Steal This Album!";USSM10213333;;;201s;http://www.tidal.com/track/33753617
Streamline;"System Of A Down";"Steal This Album!";USSM10213523;;;218s;http://www.tidal.com/track/33753618
"Soldier Side - Intro";"System Of A Down";Mezmerize;USSM10501579;;;63s;http://www.tidal.com/track/560267
B.Y.O.B.;"System Of A Down";Mezmerize;USSM10501327;;;255s;http://www.tidal.com/track/560272
Revenga;"System Of A Down";Mezmerize;USSM10501580;;;228s;http://www.tidal.com/track/560273
Cigaro;"System Of A Down";Mezmerize;USSM10500838;;;131s;http://www.tidal.com/track/560266
Radio/Video;"System Of A Down";Mezmerize;USSM10501581;;;249s;http://www.tidal.com/track/560269
"This Cocaine Makes Me Feel Like I'm On This Song";"System Of A Down";Mezmerize;USSM10501582;;;128s;http://www.tidal.com/track/560264
"Violent Pornography";"System Of A Down";Mezmerize;USSM10501583;;;211s;http://www.tidal.com/track/560265
Question!;"System Of A Down";Mezmerize;USSM10501584;;;200s;http://www.tidal.com/track/560268
"Sad Statue";"System Of A Down";Mezmerize;USSM10501585;;;205s;http://www.tidal.com/track/560270
"Old School Hollywood";"System Of A Down";Mezmerize;USSM10501586;;;176s;http://www.tidal.com/track/560263
"Lost In Hollywood";"System Of A Down";Mezmerize;USSM10501587;;;320s;http://www.tidal.com/track/560271
Attack;"System Of A Down";Hypnotize;USSM10505331;;;186s;http://www.tidal.com/track/1794992
Dreaming;"System Of A Down";Hypnotize;USSM10505332;;;240s;http://www.tidal.com/track/1794993
"Kill Rock 'n Roll";"System Of A Down";Hypnotize;USSM10505333;;;148s;http://www.tidal.com/track/1660386
Hypnotize;"System Of A Down";Hypnotize;USSM10505330;;;189s;http://www.tidal.com/track/1794994
"Stealing Society";"System Of A Down";Hypnotize;USSM10505334;;;178s;http://www.tidal.com/track/1794999
Tentative;"System Of A Down";Hypnotize;USSM10505335;;;217s;http://www.tidal.com/track/1794995
U-Fig;"System Of A Down";Hypnotize;USSM10505336;;;175s;http://www.tidal.com/track/1795000
"Holy Mountains";"System Of A Down";Hypnotize;USSM10505337;;;329s;http://www.tidal.com/track/1794996
"Vicinity Of Obscenity";"System Of A Down";Hypnotize;USSM10505338;;;172s;http://www.tidal.com/track/1794997
"She's Like Heroin";"System Of A Down";Hypnotize;USSM10505339;;;164s;http://www.tidal.com/track/1660387
"Lonely Day";"System Of A Down";Hypnotize;USSM10505340;;;168s;http://www.tidal.com/track/1795001
"Soldier Side";"System Of A Down";Hypnotize;USSM10505341;;;220s;http://www.tidal.com/track/1794998
"Prison Song";"System Of A Down";Toxicity;USSM10107251;;;201s;http://www.tidal.com/track/17825551
Needles;"System Of A Down";Toxicity;USSM10107252;;;193s;http://www.tidal.com/track/17825552
"Deer Dance";"System Of A Down";Toxicity;USSM10107253;;;174s;http://www.tidal.com/track/17825553
"Jet Pilot";"System Of A Down";Toxicity;USSM10107254;;;126s;http://www.tidal.com/track/17825554
X;"System Of A Down";Toxicity;USSM10107255;;;118s;http://www.tidal.com/track/17825555
"Chop Suey!";"System Of A Down";Toxicity;USSM10107256;;;210s;http://www.tidal.com/track/17825556
Bounce;"System Of A Down";Toxicity;USSM10107257;;;114s;http://www.tidal.com/track/17825557
Forest;"System Of A Down";Toxicity;USSM10107258;;;240s;http://www.tidal.com/track/17825558
ATWA;"System Of A Down";Toxicity;USSM10107259;;;176s;http://www.tidal.com/track/17825559
Science;"System Of A Down";Toxicity;USSM10107260;;;162s;http://www.tidal.com/track/17825560
Shimmy;"System Of A Down";Toxicity;USSM10107261;;;110s;http://www.tidal.com/track/17825561
Toxicity;"System Of A Down";Toxicity;USSM10107262;;;218s;http://www.tidal.com/track/17825562
Psycho;"System Of A Down";Toxicity;USSM10107263;;;225s;http://www.tidal.com/track/17825563
Aerials;"System Of A Down";Toxicity;USSM10107264;;;235s;http://www.tidal.com/track/17825564
Arto;"System Of A Down";Toxicity;USSM10107401;;;133s;http://www.tidal.com/track/17825565
Love;"Lana Del Rey";"Lust For Life";GBUM71604605;;;273s;http://www.tidal.com/track/77644498
"Lust For Life";"Lana Del Rey, The Weeknd";"Lust For Life";GBUM71701127;;;264s;http://www.tidal.com/track/77644499
"13 Beaches";"Lana Del Rey";"Lust For Life";GBUM71701636;;;296s;http://www.tidal.com/track/77644500
Cherry;"Lana Del Rey";"Lust For Life";GBUM71702621;;;181s;http://www.tidal.com/track/77644501
"White Mustang";"Lana Del Rey";"Lust For Life";GBUM71702622;;;165s;http://www.tidal.com/track/77644502
"Summer Bummer";"Lana Del Rey, A$AP Rocky, Playboi Carti";"Lust For Life";GBUM71703299;;;261s;http://www.tidal.com/track/77644503
"Groupie Love";"Lana Del Rey, A$AP Rocky";"Lust For Life";GBUM71703296;;;264s;http://www.tidal.com/track/77644504
"In My Feelings";"Lana Del Rey";"Lust For Life";GBUM71702623;;;239s;http://www.tidal.com/track/77644505
"Coachella - Woodstock In My Mind";"Lana Del Rey";"Lust For Life";GBUM71702139;;;258s;http://www.tidal.com/track/77644506
"God Bless America - And All The Beautiful Women In It";"Lana Del Rey";"Lust For Life";GBUM71701684;;;276s;http://www.tidal.com/track/77644507
"When The World Was At War We Kept Dancing";"Lana Del Rey";"Lust For Life";GBUM71701858;;;276s;http://www.tidal.com/track/77644508
"Beautiful People Beautiful Problems";"Lana Del Rey, Stevie Nicks";"Lust For Life";GBUM71701691;;;254s;http://www.tidal.com/track/77644509
"Tomorrow Never Came";"Lana Del Rey, Sean Ono Lennon";"Lust For Life";GBUM71701634;;;308s;http://www.tidal.com/track/77644510
Heroin;"Lana Del Rey";"Lust For Life";GBUM71702624;;;355s;http://www.tidal.com/track/77644511
Change;"Lana Del Rey";"Lust For Life";GBUM71702650;;;321s;http://www.tidal.com/track/77644512
"Get Free";"Lana Del Rey";"Lust For Life";GBUM71702625;;;334s;http://www.tidal.com/track/77644513
"My Spirit Will Go On";DragonForce;"Sonic Firestorm";GBAJE0400117;;;474s;http://www.tidal.com/track/18652026
"Fury Of The Storm";DragonForce;"Sonic Firestorm";GBAJE0400118;;;407s;http://www.tidal.com/track/18652028
"Fields Of Despair";DragonForce;"Sonic Firestorm";GBAJE0400119;;;325s;http://www.tidal.com/track/18652029
"Dawn Over A New World";DragonForce;"Sonic Firestorm";GBAJE0400120;;;313s;http://www.tidal.com/track/18652030
"Above The Winter Moonlight";DragonForce;"Sonic Firestorm";GBAJE0400121;;;451s;http://www.tidal.com/track/18652031
"Soldiers of the Wastelands";DragonForce;"Sonic Firestorm";GBAJE0400122;;;587s;http://www.tidal.com/track/18652032
"Prepare For War";DragonForce;"Sonic Firestorm";GBAJE0400123;;;375s;http://www.tidal.com/track/18652034
"Once In A Lifetime";DragonForce;"Sonic Firestorm";GBAJE0400124;;;467s;http://www.tidal.com/track/18652035
"Cry of the Brave";DragonForce;"Sonic Firestorm";FIUM70901254;;;346s;http://www.tidal.com/track/18652036
"Through the Fire and Flames";DragonForce;"Inhuman Rampage";GBAJE0508258;;;441s;http://www.tidal.com/track/34367108
"Revolution Deathsquad";DragonForce;"Inhuman Rampage";GBAJE0508259;;;473s;http://www.tidal.com/track/34367109
"Storming the Burning Fields";DragonForce;"Inhuman Rampage";GBAJE0508260;;;319s;http://www.tidal.com/track/34367110
"Operation Ground and Pound";DragonForce;"Inhuman Rampage";GBAJE0508261;;;465s;http://www.tidal.com/track/34367111
"Body Breakdown";DragonForce;"Inhuman Rampage";GBAJE0508262;;;419s;http://www.tidal.com/track/34367112
"Cry for Eternity";DragonForce;"Inhuman Rampage";GBAJE0508263;;;493s;http://www.tidal.com/track/34367113
"The Flame of Youth";DragonForce;"Inhuman Rampage";GBAJE0508264;;;402s;http://www.tidal.com/track/34367114
"Trail of Broken Hearts";DragonForce;"Inhuman Rampage";GBAJE0508265;;;355s;http://www.tidal.com/track/34367115
"Lost Souls in Endless Time";DragonForce;"Inhuman Rampage";NLA320683298;;;382s;http://www.tidal.com/track/34367116
"The Eye of the Storm";Disturbed;Immortalized;USRE11500190;;;81s;http://www.tidal.com/track/68629934
Immortalized;Disturbed;Immortalized;USRE11500191;;;258s;http://www.tidal.com/track/68629935
"The Vengeful One";Disturbed;Immortalized;USRE11500192;;;252s;http://www.tidal.com/track/68629936
"Open Your Eyes";Disturbed;Immortalized;USRE11500193;;;237s;http://www.tidal.com/track/68629937
"The Light";Disturbed;Immortalized;USRE11500194;;;257s;http://www.tidal.com/track/68629938
"What Are You Waiting For";Disturbed;Immortalized;USRE11500195;;;244s;http://www.tidal.com/track/68629939
"You're Mine";Disturbed;Immortalized;USRE11500196;;;296s;http://www.tidal.com/track/68629940
Who;Disturbed;Immortalized;USRE11500197;;;287s;http://www.tidal.com/track/68629941
"Save Our Last Goodbye";Disturbed;Immortalized;USRE11500198;;;300s;http://www.tidal.com/track/68629942
"Fire It Up";Disturbed;Immortalized;USRE11500199;;;246s;http://www.tidal.com/track/68629943
"The Sound of Silence";Disturbed;Immortalized;USRE11500200;;;248s;http://www.tidal.com/track/68629944
"Never Wrong";Disturbed;Immortalized;USRE11500201;;;213s;http://www.tidal.com/track/68629945
"Who Taught You How to Hate";Disturbed;Immortalized;USRE11500202;;;298s;http://www.tidal.com/track/68629946
Tyrant;Disturbed;Immortalized;USRE11500203;;;229s;http://www.tidal.com/track/68629947
"Legion of Monsters";Disturbed;Immortalized;USRE11500204;;;264s;http://www.tidal.com/track/68629948
"The Brave and the Bold";Disturbed;Immortalized;USRE11500205;;;274s;http://www.tidal.com/track/68629949
Remnants;Disturbed;Asylum;USRE11000552;;;164s;http://www.tidal.com/track/4393778
Asylum;Disturbed;Asylum;USRE11000553;;;276s;http://www.tidal.com/track/4393779
"The Infection";Disturbed;Asylum;USRE11000554;;;249s;http://www.tidal.com/track/4393780
Warrior;Disturbed;Asylum;USRE11000555;;;205s;http://www.tidal.com/track/4393781
"Another Way to Die";Disturbed;Asylum;USRE11000389;;;253s;http://www.tidal.com/track/4393782
"Never Again";Disturbed;Asylum;USRE11000556;;;214s;http://www.tidal.com/track/4393783
"The Animal";Disturbed;Asylum;USRE11000557;;;254s;http://www.tidal.com/track/4393784
Crucified;Disturbed;Asylum;USRE11000558;;;277s;http://www.tidal.com/track/4393785
Serpentine;Disturbed;Asylum;USRE11000559;;;250s;http://www.tidal.com/track/4393786
"My Child";Disturbed;Asylum;USRE11000560;;;198s;http://www.tidal.com/track/4393787
Sacrifice;Disturbed;Asylum;USRE11000561;;;240s;http://www.tidal.com/track/4393788
Innocence;Disturbed;Asylum;USRE11000562;;;271s;http://www.tidal.com/track/4393789
ISHFWILF;Disturbed;Asylum;USRE11000617;;;326s;http://www.tidal.com/track/4393790
"Down with the Sickness";Disturbed;Asylum;USRE11000619;;;353s;http://www.tidal.com/track/4393791
Stricken;Disturbed;Asylum;USRE11000620;;;257s;http://www.tidal.com/track/4393792
Indestructible;Disturbed;Indestructible;USRE10800127;;;278s;http://www.tidal.com/track/1756345
"Inside the Fire";Disturbed;Indestructible;USRE10800074;;;231s;http://www.tidal.com/track/1756346
Deceiver;Disturbed;Indestructible;USRE10800128;;;229s;http://www.tidal.com/track/1756347
"The Night";Disturbed;Indestructible;USRE10800129;;;286s;http://www.tidal.com/track/1756348
"Perfect Insanity";Disturbed;Indestructible;USRE10800075;;;237s;http://www.tidal.com/track/1756349
Haunted;Disturbed;Indestructible;USRE10800131;;;282s;http://www.tidal.com/track/1756350
Enough;Disturbed;Indestructible;USRE10800132;;;260s;http://www.tidal.com/track/1756351
"The Curse";Disturbed;Indestructible;USRE10800133;;;205s;http://www.tidal.com/track/1756352
Torn;Disturbed;Indestructible;USRE10800134;;;249s;http://www.tidal.com/track/1756353
Criminal;Disturbed;Indestructible;USRE10800137;;;256s;http://www.tidal.com/track/1756354
Divide;Disturbed;Indestructible;USRE10800135;;;216s;http://www.tidal.com/track/1756355
Façade;Disturbed;Indestructible;USRE10800316;;;225s;http://www.tidal.com/track/1756356
Stricken;Disturbed;Indestructible;USRE10800427;;;267s;http://www.tidal.com/track/1756357
"Down with the Sickness";Disturbed;Indestructible;USRE10800496;;;315s;http://www.tidal.com/track/1756358
"Just Stop";Disturbed;Indestructible;USRE10800497;;;231s;http://www.tidal.com/track/1756359
"Reaching into Infinity";DragonForce;"Reaching into Infinity (Special Edition)";USMBR1712465;;;85s;http://www.tidal.com/track/71642706
"Ashes of the Dawn";DragonForce;"Reaching into Infinity (Special Edition)";USMBR1712466;;;273s;http://www.tidal.com/track/71642707
"Judgement Day";DragonForce;"Reaching into Infinity (Special Edition)";USMBR1712467;;;373s;http://www.tidal.com/track/71642708
"Astral Empire";DragonForce;"Reaching into Infinity (Special Edition)";USMBR1712468;;;324s;http://www.tidal.com/track/71642709
"Curse of Darkness";DragonForce;"Reaching into Infinity (Special Edition)";USMBR1712469;;;335s;http://www.tidal.com/track/71642710
Silence;DragonForce;"Reaching into Infinity (Special Edition)";USMBR1712470;;;290s;http://www.tidal.com/track/71642712
"Midnight Madness";DragonForce;"Reaching into Infinity (Special Edition)";USMBR1712471;;;381s;http://www.tidal.com/track/71642714
War!;DragonForce;"Reaching into Infinity (Special Edition)";USMBR1712472;;;319s;http://www.tidal.com/track/71642715
"Land of Shattered Dreams";DragonForce;"Reaching into Infinity (Special Edition)";USMBR1712473;;;299s;http://www.tidal.com/track/71642716
"The Edge of the World";DragonForce;"Reaching into Infinity (Special Edition)";USMBR1712474;;;663s;http://www.tidal.com/track/71642717
"Our Final Stand";DragonForce;"Reaching into Infinity (Special Edition)";USMBR1712475;;;304s;http://www.tidal.com/track/71642718
"Hatred and Revenge (Bonus Track)";DragonForce;"Reaching into Infinity (Special Edition)";USMBR1712476;;;326s;http://www.tidal.com/track/71642719
"Evil Dead (Bonus Track)";DragonForce;"Reaching into Infinity (Special Edition)";USMBR1712477;;;201s;http://www.tidal.com/track/71642720
"Fury of the Storm (Live)";DragonForce;"In the Line of Fire...Larger Than Live";USMBR1511355;;;480s;http://www.tidal.com/track/48729008
"Three Hammers (Live)";DragonForce;"In the Line of Fire...Larger Than Live";USMBR1511356;;;398s;http://www.tidal.com/track/48729009
"Black Winter Night (Live)";DragonForce;"In the Line of Fire...Larger Than Live";USMBR1511357;;;401s;http://www.tidal.com/track/48729010
"Seasons (Live)";DragonForce;"In the Line of Fire...Larger Than Live";USMBR1511358;;;335s;http://www.tidal.com/track/48729011
"Tomorrow's Kings (Live)";DragonForce;"In the Line of Fire...Larger Than Live";USMBR1511359;;;282s;http://www.tidal.com/track/48729012
"Symphony of the Night (Live)";DragonForce;"In the Line of Fire...Larger Than Live";USMBR1511360;;;358s;http://www.tidal.com/track/48729013
"Cry Thunder (Live)";DragonForce;"In the Line of Fire...Larger Than Live";USMBR1511361;;;316s;http://www.tidal.com/track/48729014
"Ring of Fire (Live)";DragonForce;"In the Line of Fire...Larger Than Live";USMBR1511362;;;218s;http://www.tidal.com/track/48729015
"Through the Fire and Flames (Live)";DragonForce;"In the Line of Fire...Larger Than Live";USMBR1511363;;;477s;http://www.tidal.com/track/48729016
"Valley of the Damned (Live)";DragonForce;"In the Line of Fire...Larger Than Live";USMBR1511364;;;534s;http://www.tidal.com/track/48729017
"Defenders (Live)";DragonForce;"In the Line of Fire...Larger Than Live";USMBR1511365;;;351s;http://www.tidal.com/track/48729018
"The Game";DragonForce;"Maximum Overload (Special Edition)";USMBR1410768;;;296s;http://www.tidal.com/track/32674387
"Tomorrow's Kings";DragonForce;"Maximum Overload (Special Edition)";USMBR1410769;;;254s;http://www.tidal.com/track/32674388
"No More";DragonForce;"Maximum Overload (Special Edition)";USMBR1410770;;;230s;http://www.tidal.com/track/32674389
"Three Hammers";DragonForce;"Maximum Overload (Special Edition)";USMBR1410771;;;350s;http://www.tidal.com/track/32674390
"Symphony of the Night";DragonForce;"Maximum Overload (Special Edition)";USMBR1410772;;;320s;http://www.tidal.com/track/32674391
"The Sun Is Dead";DragonForce;"Maximum Overload (Special Edition)";USMBR1410773;;;394s;http://www.tidal.com/track/32674392
Defenders;DragonForce;"Maximum Overload (Special Edition)";USMBR1410774;;;347s;http://www.tidal.com/track/32674393
"Extraction Zone";DragonForce;"Maximum Overload (Special Edition)";USMBR1410775;;;306s;http://www.tidal.com/track/32674394
"City of Gold";DragonForce;"Maximum Overload (Special Edition)";USMBR1410776;;;283s;http://www.tidal.com/track/32674395
"Ring of Fire";DragonForce;"Maximum Overload (Special Edition)";USMBR1410777;;;195s;http://www.tidal.com/track/32674397
"Power and Glory (Bonus Track)";DragonForce;"Maximum Overload (Special Edition)";USMBR1410778;;;306s;http://www.tidal.com/track/32674400
"You're Not Alone (Bonus Track)";DragonForce;"Maximum Overload (Special Edition)";USMBR1410779;;;278s;http://www.tidal.com/track/32674402
"Chemical Interference (Bonus Track)";DragonForce;"Maximum Overload (Special Edition)";USMBR1410780;;;312s;http://www.tidal.com/track/32674404
"Fight to Be Free (Bonus Track)";DragonForce;"Maximum Overload (Special Edition)";USMBR1410781;;;285s;http://www.tidal.com/track/32674405
"Galactic Astro Domination ((Remix) Bonus Track)";DragonForce;"Maximum Overload (Special Edition)";USMBR1410782;;;92s;http://www.tidal.com/track/32674406
"Holding On";DragonForce;"The Power Within";GB4421200001;;;296s;http://www.tidal.com/track/34367545
"Fallen World";DragonForce;"The Power Within";GB4421200003;;;248s;http://www.tidal.com/track/34367546
"Cry Thunder";DragonForce;"The Power Within";GB4421200002;;;316s;http://www.tidal.com/track/34367547
"Give Me The Night";DragonForce;"The Power Within";GB4421200004;;;268s;http://www.tidal.com/track/34367548
"Wings Of Liberty";DragonForce;"The Power Within";GB4421200005;;;441s;http://www.tidal.com/track/34367549
Seasons;DragonForce;"The Power Within";GB4421200006;;;303s;http://www.tidal.com/track/34367550
"Heart Of The Storm";DragonForce;"The Power Within";GB4421200007;;;282s;http://www.tidal.com/track/34367551
"Die By The Sword";DragonForce;"The Power Within";GB4421200008;;;277s;http://www.tidal.com/track/34367552
"Last Man Stands";DragonForce;"The Power Within";GB4421200009;;;308s;http://www.tidal.com/track/34367553
Seasons;DragonForce;"The Power Within";GB4421200010;;;267s;http://www.tidal.com/track/34367554
"Cry Thunder";DragonForce;"The Power Within";GB4421200012;;;314s;http://www.tidal.com/track/34367555
"Heart Of The Storm";DragonForce;"The Power Within";GB4421200013;;;282s;http://www.tidal.com/track/34367556
"Avant La Tempête";DragonForce;"The Power Within";GB4421200014;;;121s;http://www.tidal.com/track/34367557
